2025-12-27 19:43:31.240 [info] Started local extension host with pid 667429.
2025-12-27 19:43:31.460 [info] [muhammad-sammy.csharp]: Command `o.restart` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.460 [info] [muhammad-sammy.csharp]: Command `o.pickProjectAndStart` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.460 [info] [muhammad-sammy.csharp]: Command `dotnet.openSolution` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.460 [info] [muhammad-sammy.csharp]: Command `o.fixAll.solution` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.460 [info] [muhammad-sammy.csharp]: Command `o.fixAll.project` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.460 [info] [muhammad-sammy.csharp]: Command `o.fixAll.document` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.460 [info] [muhammad-sammy.csharp]: Command `o.reanalyze.allProjects` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.460 [info] [muhammad-sammy.csharp]: Command `o.reanalyze.currentProject` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `dotnet.generateAssets` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `dotnet.restore.project` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `dotnet.restore.all` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `csharp.listProcess` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `csharp.listRemoteProcess` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `csharp.listRemoteDockerProcess` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `csharp.attachToProcess` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `csharp.reportIssue` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `csharp.showDecompilationTerms` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.461 [info] [muhammad-sammy.csharp]: Command `extension.showRazorCSharpWindow` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.462 [info] [muhammad-sammy.csharp]: Command `extension.showRazorHtmlWindow` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.462 [info] [muhammad-sammy.csharp]: Command `razor.reportIssue` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.462 [info] [muhammad-sammy.csharp]: Command `dotnet.test.runTestsInContext` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.462 [info] [muhammad-sammy.csharp]: Command `dotnet.test.debugTestsInContext` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.462 [info] [muhammad-sammy.csharp]: Command `dotnet.restartServer` already registered by C# (ms-dotnettools.csharp)
2025-12-27 19:43:31.468 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.defaultSolution'. This property is already registered.
2025-12-27 19:43:31.468 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.autoInsert.enableAutoInsert'. This property is already registered.
2025-12-27 19:43:31.468 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.formatting.organizeImportsOnFormat'. This property is already registered.
2025-12-27 19:43:31.469 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.typeMembers.memberInsertionLocation'. This property is already registered.
2025-12-27 19:43:31.469 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.typeMembers.propertyGenerationBehavior'. This property is already registered.
2025-12-27 19:43:31.469 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.codeLens.enableReferencesCodeLens'. This property is already registered.
2025-12-27 19:43:31.469 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.codeLens.enableTestsCodeLens'. This property is already registered.
2025-12-27 19:43:31.469 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.completion.showCompletionItemsFromUnimportedNamespaces'. This property is already registered.
2025-12-27 19:43:31.469 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.completion.showNameCompletionSuggestions'. This property is already registered.
2025-12-27 19:43:31.469 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.completion.provideRegexCompletions'. This property is already registered.
2025-12-27 19:43:31.469 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.completion.triggerCompletionInArgumentLists'. This property is already registered.
2025-12-27 19:43:31.470 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.backgroundAnalysis.analyzerDiagnosticsScope'. This property is already registered.
2025-12-27 19:43:31.470 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.backgroundAnalysis.compilerDiagnosticsScope'. This property is already registered.
2025-12-27 19:43:31.470 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.diagnostics.reportInformationAsHint'. This property is already registered.
2025-12-27 19:43:31.470 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.highlighting.highlightRelatedRegexComponents'. This property is already registered.
2025-12-27 19:43:31.470 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.highlighting.highlightRelatedJsonComponents'. This property is already registered.
2025-12-27 19:43:31.470 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.inlayHints.enableInlayHintsForImplicitObjectCreation'. This property is already registered.
2025-12-27 19:43:31.470 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.inlayHints.enableInlayHintsForImplicitVariableTypes'. This property is already registered.
2025-12-27 19:43:31.470 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.inlayHints.enableInlayHintsForLambdaParameterTypes'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.inlayHints.enableInlayHintsForTypes'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.inlayHints.enableInlayHintsForIndexerParameters'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.inlayHints.enableInlayHintsForLiteralParameters'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.inlayHints.enableInlayHintsForObjectCreationParameters'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.inlayHints.enableInlayHintsForOtherParameters'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.inlayHints.enableInlayHintsForParameters'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.inlayHints.suppressInlayHintsForParametersThatDifferOnlyBySuffix'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.inlayHints.suppressInlayHintsForParametersThatMatchArgumentName'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.inlayHints.suppressInlayHintsForParametersThatMatchMethodIntent'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.navigation.navigateToDecompiledSources'. This property is already registered.
2025-12-27 19:43:31.471 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.navigation.navigateToSourceLinkAndEmbeddedSources'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.quickInfo.showRemarksInQuickInfo'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'dotnet.symbolSearch.searchReferenceAssemblies'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.stopAtEntry'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.console'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.sourceFileMap'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.justMyCode'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.requireExactSource'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.enableStepFiltering'. This property is already registered.
2025-12-27 19:43:31.472 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.logging.exceptions'. This property is already registered.
2025-12-27 19:43:31.473 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.logging.moduleLoad'. This property is already registered.
2025-12-27 19:43:31.473 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.logging.programOutput'. This property is already registered.
2025-12-27 19:43:31.473 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.logging.browserStdOut'. This property is already registered.
2025-12-27 19:43:31.473 [warning] [muhammad-sammy.csharp]: Cannot register 'csharp.debug.logging.elapsedTiming'. This property is already registered.
